meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
FINA Swimming World Cup 2018,01:50.29,05/10/2018,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,60,60,953,Budapest,HUN
FINA/airweave Swimming World Cup 2016,01:50.29,21/10/2016,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,60,61,953,Singapore,SGP
European Short Course Swimming Championships 2009,01:50.32,12/12/2009,Men 200 Butterfly SCM Male,AUT,Austria,"JUKIC, Dinko",M,09/01/1989,,,62,62,1024,Istanbul,TUR
Swim Cup Lausanne,01:50.33,20/12/2017,Men 200 Butterfly SCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,63,63,952,Lausanne,SUI
FINA Swimming World Cup 2013,01:50.33,09/11/2013,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,63,64,967,Tokyo,JPN
FINA/airweave Swimming World Cup 2016,01:50.35,25/10/2016,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,65,65,952,Tokyo,JPN
14th FINA World Swimming Championships (25m) 2018,01:50.39,11/12/2018,Men 200 Butterfly SCM Male,CHN,People's Republic of China,"LI, Zhuhao",M,09/01/1999,,,66,66,951,Hangzhou,CHN
FINA Swimming World Cup 2013,01:50.39,20/10/2013,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,66,67,965,Doha,QAT
ISL 2020 Season - Match 1,01:50.43,17/10/2020,Men 200 Butterfly SCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,68,68,941,Budapest,HUN
FINA Swimming World Cup 2013,01:50.43,10/08/2013,Men 200 Butterfly SCM Male,POL,Poland,"KORZENIOWSKI, Pawel",M,09/07/1985,,,68,69,964,Berlin,GER
ISL 2019 Season - Grand Final,01:50.46,21/12/2019,Men 200 Butterfly SCM Male,USA,United States of America,"CONGER, Jack",M,26/09/1994,,,70,70,940,Las Vegas,USA
ISL 2020 Season - Match 1,01:50.48,17/10/2020,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,71,71,940,Budapest,HUN
2020 Japan National Swimming Championships,01:50.51,17/10/2020,Men 200 Butterfly SCM Male,JPN,Japan,"SAKAMOTO, Yuya",M,03/10/1999,,,72,72,939,Tokyo,JPN
Russian Short Course Championships,01:50.53,15/02/2009,Men 200 Butterfly SCM Male,RUS,Russian Federation,"SKVORTSOV, Nikolay",M,28/03/1984,,,73,73,1023,St-Petersburg,RUS
European Short Course Swimming Championships 2017,01:50.54,17/12/2017,Men 200 Butterfly SCM Male,RUS,Russian Federation,"KHARLANOV, Aleksandr",M,26/10/1995,,,74,74,947,Copenhagen,DEN
ISL 2020 Season - Match 3,01:50.55,25/10/2020,Men 200 Butterfly SCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,75,75,938,Budapest,HUN
FINA/MASTBANK Swimming World Cup 2014,01:50.56,29/09/2014,Men 200 Butterfly SCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,76,76,946,Hong Kong,HKG
ISL 2020 Season - Match 6,01:50.57,02/11/2020,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,77,77,938,Budapest,HUN
FINA/Arena Swimming World Cup 2011,01:50.58,22/10/2011,Men 200 Butterfly SCM Male,JPN,Japan,"SANO, Hidemasa",M,28/05/1984,,,78,78,960,Berlin,GER
FINA/Arena Swimming World Cup 2009,01:50.58,14/11/2009,Men 200 Butterfly SCM Male,RUS,Russian Federation,"SKVORTSOV, Nikolay",M,28/03/1984,,,78,79,1016,Berlin,GER
FINA/airweave Swimming World Cup 2017,01:50.60,07/08/2017,Men 200 Butterfly SCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,80,80,945,Berlin,GER
European Short Course Swimming Championships 2008,01:50.60,13/12/2008,Men 200 Butterfly SCM Male,RUS,Russian Federation,"SKVORTSOV, Nikolay",M,28/03/1984,,,80,81,1021,Rijeka,CRO
