meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
USA Nationals & World Championship Trials,01:54.92,30/03/2001,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,187,189,,Austin,USA
Olympic Games London 2012,01:54.93,30/07/2012,Men 200 Butterfly LCM Male,USA,United States of America,"CLARY, Tyler",M,12/03/1989,,,190,190,913,London,GBR
Olympic Games Beijing 2008,01:54.93,12/08/2008,Men 200 Butterfly LCM Male,CHN,People's Republic of China,"WU, Peng",M,16/05/1987,,,190,191,970,Beijing,CHN
14th FINA World Championships 2011,01:54.94,26/07/2011,Men 200 Butterfly LCM Male,AUT,Austria,"JUKIC, Dinko",M,09/01/1989,,,192,192,913,Shanghai,CHN
16th FINA World Championships 2015,01:54.95,04/08/2015,Men 200 Butterfly LCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,193,193,912,Kazan,RUS
Olympic Games London 2012,01:54.95,30/07/2012,Men 200 Butterfly LCM Male,AUT,Austria,"JUKIC, Dinko",M,09/01/1989,,,193,194,912,London,GBR
European Championships 2012,01:54.95,24/05/2012,Men 200 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,193,195,912,Debrecen,HUN
Olympic Games London 2012,01:54.96,30/07/2012,Men 200 Butterfly LCM Male,USA,United States of America,"CLARY, Tyler",M,12/03/1989,,,196,196,912,London,GBR
17th FINA World Championships 2017,01:54.98,25/07/2017,Men 200 Butterfly LCM Male,HUN,Hungary,"KENDERESI, Tamas",M,13/12/1996,,,197,197,912,Budapest,HUN
Meeting International de Canet-en-Roussillon,01:54.98,18/06/2017,Men 200 Butterfly LCM Male,HUN,Hungary,"KENDERESI, Tamas",M,13/12/1996,,,197,198,912,Canet-en-Roussillon,FRA
Olympic Games London 2012,01:54.99,30/07/2012,Men 200 Butterfly LCM Male,SRB,Serbia,"STJEPANOVIC, Velimir",M,07/08/1993,,,199,199,911,London,GBR
SA National Aquatic Championships 2017,01:55.00,05/04/2017,Men 200 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,200,200,911,Durban,RSA
